trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.810157377815473}",20,0,-60.30232030047939,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.8061065909263957}",20,0,3.2295471145737586,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.8020760579717637}",20,0,-116.57370070813694,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.798065677681905}",20,0,-98.33848406505933,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.7940753492934954}",20,0,-135.03794621030923,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.7901049725470279}",25,0,-139.04404045922286,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.7861544476842928}",30,0,-73.20489819698332,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7822236754458713}",25,2,-52.226257574704064,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.778312557068642}",20,0,-42.526539193614965,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.7744209942832988}",20,0,-62.1174277567406,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.7705488893118823}",30,0,-154.17909602836798,"{0: 20, 1: 2, 2: 3, 3: 3, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.7666961448653229}",25,8,-66.55493267266317,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.7628626641409962}",35,0,-120.81692019010573,"{0: 27, 1: 2, 2: 3, 3: 0, 4: 3}",1
55,False,"{'a': 0.5, 'e': 0.7590483508202912}",35,13,-153.66218055361395,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 2}",1
56,False,"{'a': 0.5, 'e': 0.7552531090661897}",20,13,4.3628474068523175,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.7514768435208588}",25,0,-122.26403121368465,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.7477194593032545}",25,5,-27.868736763015132,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.7439808620067382}",30,0,-104.84467036761238,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.7402609576967045}",30,0,-149.37750604506624,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
61,False,"{'a': 0.5, 'e': 0.736559652908221}",30,17,13.640700333241108,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.7328768546436799}",30,0,-166.34719731006993,"{0: 17, 1: 0, 2: 11, 3: 0, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.7292124703704616}",25,6,-28.98426777448798,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.7255664080186093}",25,0,-17.00064238748289,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.7219385759785162}",20,0,-102.16657694004661,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.7183288830986236}",20,6,6.048496935393347,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
